13:59:17.747 sping-log [main] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\java\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;D:\phpStudy\php\php-7.2.12-nts;D:\Git\bin;D:\nodejs;C:\Program Files\Git\cmd;C:\ProgramData\ComposerSetup\bin;%JAVA_HOME%\bin;%JAVA_HOME%\jre\bin;C:\Users\Administrator\AppData\Local\Microsoft\WindowsApps;C:\Users\Administrator\AppData\Roaming\Composer\vendor\bin;D:\java\bin;;.]
13:59:17.810 sping-log [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13:59:17.810 sping-log [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 881 ms
13:59:18.154 sping-log [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
13:59:18.294 sping-log [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
13:59:18.294 sping-log [main] INFO  o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
13:59:18.310 sping-log [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
13:59:18.310 sping-log [main] INFO  com.hengfeng.web.App - Started App in 1.796 seconds (JVM running for 2.353)
13:59:31.801 sping-log [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
13:59:31.801 sping-log [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
13:59:31.805 sping-log [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
14:00:45.410 sping-log [main] INFO  com.hengfeng.web.App - Starting App on P-V-4 with PID 2452 (E:\project\hengfeng\target\classes started by Administrator in E:\project\hengfeng)
14:00:45.413 sping-log [main] INFO  com.hengfeng.web.App - No active profile set, falling back to default profiles: default
14:00:46.210 sping-log [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
14:00:46.218 sping-log [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
14:00:46.224 sping-log [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
14:00:46.224 sping-log [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
14:00:46.229 sping-log [main] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\java\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;D:\phpStudy\php\php-7.2.12-nts;D:\Git\bin;D:\nodejs;C:\Program Files\Git\cmd;C:\ProgramData\ComposerSetup\bin;%JAVA_HOME%\bin;%JAVA_HOME%\jre\bin;C:\Users\Administrator\AppData\Local\Microsoft\WindowsApps;C:\Users\Administrator\AppData\Roaming\Composer\vendor\bin;D:\java\bin;;.]
14:00:46.300 sping-log [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:00:46.301 sping-log [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 816 ms
14:00:46.648 sping-log [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
14:00:46.815 sping-log [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
